representative_graph	query_graph	representative_id	query_id	representative_edge_count	query_edge_count	same_edge_count	ged	threshold	assigned_to_current_class	class
AqTMK_1_final.txt	AqTMK_12_final.txt	AqTMK_1	AqTMK_12	38	38	True	0	1.0	True	class_1
AqTMK_1_final.txt	AqTMK_30_final.txt	AqTMK_1	AqTMK_30	38	38	True	2	1.0	False	
AqTMK_1_final.txt	AqTMK_35_final.txt	AqTMK_1	AqTMK_35	38	38	True	6	1.0	False	
AqTMK_1_final.txt	AqTMK_8_final.txt	AqTMK_1	AqTMK_8	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_10_final.txt	AqTMK_1	AqTMK_10	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_16_final.txt	AqTMK_1	AqTMK_16	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_21_final.txt	AqTMK_1	AqTMK_21	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_65_final.txt	AqTMK_1	AqTMK_65	38	38	True	4	1.0	False	
AqTMK_1_final.txt	AqTMK_39_final.txt	AqTMK_1	AqTMK_39	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_41_final.txt	AqTMK_1	AqTMK_41	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_26_final.txt	AqTMK_1	AqTMK_26	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_44_final.txt	AqTMK_1	AqTMK_44	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_46_final.txt	AqTMK_1	AqTMK_46	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_58_final.txt	AqTMK_1	AqTMK_58	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_60_final.txt	AqTMK_1	AqTMK_60	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_88_final.txt	AqTMK_1	AqTMK_88	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_134_final.txt	AqTMK_1	AqTMK_134	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_97_final.txt	AqTMK_1	AqTMK_97	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_140_final.txt	AqTMK_1	AqTMK_140	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_228_final.txt	AqTMK_1	AqTMK_228	38	37	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_2_final.txt	AqTMK_1	AqTMK_2	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_6_final.txt	AqTMK_1	AqTMK_6	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_9_final.txt	AqTMK_1	AqTMK_9	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_13_final.txt	AqTMK_1	AqTMK_13	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_17_final.txt	AqTMK_1	AqTMK_17	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_15_final.txt	AqTMK_1	AqTMK_15	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_22_final.txt	AqTMK_1	AqTMK_22	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_28_final.txt	AqTMK_1	AqTMK_28	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_37_final.txt	AqTMK_1	AqTMK_37	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_38_final.txt	AqTMK_1	AqTMK_38	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_77_final.txt	AqTMK_1	AqTMK_77	38	36	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_5_final.txt	AqTMK_1	AqTMK_5	38	35	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_14_final.txt	AqTMK_1	AqTMK_14	38	35	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_23_final.txt	AqTMK_1	AqTMK_23	38	35	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_214_final.txt	AqTMK_1	AqTMK_214	38	35	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_128_final.txt	AqTMK_1	AqTMK_128	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_175_final.txt	AqTMK_1	AqTMK_175	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_185_final.txt	AqTMK_1	AqTMK_185	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_196_final.txt	AqTMK_1	AqTMK_196	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_207_final.txt	AqTMK_1	AqTMK_207	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_217_final.txt	AqTMK_1	AqTMK_217	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_244_final.txt	AqTMK_1	AqTMK_244	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_220_final.txt	AqTMK_1	AqTMK_220	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_246_final.txt	AqTMK_1	AqTMK_246	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_261_final.txt	AqTMK_1	AqTMK_261	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_281_final.txt	AqTMK_1	AqTMK_281	38	34	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_69_final.txt	AqTMK_1	AqTMK_69	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_87_final.txt	AqTMK_1	AqTMK_87	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_111_final.txt	AqTMK_1	AqTMK_111	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_109_final.txt	AqTMK_1	AqTMK_109	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_95_final.txt	AqTMK_1	AqTMK_95	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_116_final.txt	AqTMK_1	AqTMK_116	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_120_final.txt	AqTMK_1	AqTMK_120	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_139_final.txt	AqTMK_1	AqTMK_139	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_156_final.txt	AqTMK_1	AqTMK_156	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_163_final.txt	AqTMK_1	AqTMK_163	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_171_final.txt	AqTMK_1	AqTMK_171	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_197_final.txt	AqTMK_1	AqTMK_197	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_186_final.txt	AqTMK_1	AqTMK_186	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_200_final.txt	AqTMK_1	AqTMK_200	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_208_final.txt	AqTMK_1	AqTMK_208	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_223_final.txt	AqTMK_1	AqTMK_223	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_229_final.txt	AqTMK_1	AqTMK_229	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_230_final.txt	AqTMK_1	AqTMK_230	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_257_final.txt	AqTMK_1	AqTMK_257	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_231_final.txt	AqTMK_1	AqTMK_231	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_233_final.txt	AqTMK_1	AqTMK_233	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_259_final.txt	AqTMK_1	AqTMK_259	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_262_final.txt	AqTMK_1	AqTMK_262	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_270_final.txt	AqTMK_1	AqTMK_270	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_273_final.txt	AqTMK_1	AqTMK_273	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_284_final.txt	AqTMK_1	AqTMK_284	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_285_final.txt	AqTMK_1	AqTMK_285	38	33	False	inf	1.0	False	
AqTMK_1_final.txt	AqTMK_295_final.txt	AqTMK_1	AqTMK_295	38	33	False	inf	1.0	False	
